chl_name,sc_name,en_name,group,en_group,trade_name,yield
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU",Katsuwonus pelamis,Skipjack tuna,atunes,Tuna,Skipjack tuna,0.475
MERLUZA DEL SUR,Merluccius australis,Southern hake,merluza,Hake,Hake,0.5
VIDRIOLA,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack,0.56
BRECA O VILLAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong,0.5
CAZON,Galeorhinus galeus,Tope shark,tiburon,Shark,Shark,0.55
CHITON O APRETADOR,Chiton spp,Chitons,moluscos_otros,Mollusks,Limpet,0.215
ORANGE ROUGHY,Hoplosthethus atlanticus,Orange roughy,pescado_otros,Fish,Orange roughy,0.5
OTRAS ALGAS,Algaes,Algaes,alga,Algae,Algae,0.75
OTROS CRUSTACEOS,Crustacea,Crustacean,crustaceos_otros,Crustaceans,Other crustaceans,0.2
OTROS MOLUSCOS,Mollusca,Mollusks,moluscos_otros,Mollusks,Other mollusks,0.225
OTROS PESCADOS,Fish,Fish,pescado_otros,Fish,Other fish,0.5
SALMON ARTICO,Salvelinus alpinus,Arctic char,salmon,Salmon,Salmon,0.5
"NANUE, NANUE PARA, PISI O PUA",Kiphosus sandwicensis,Pacific chub,pescado_otros,Fish,Pacific chub,0.5
